1643009797556|2|statement|connection 6|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|INSERT INTO QRTZ_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, JOB_NAME, JOB_GROUP, DESCRIPTION, NEXT_FIRE_TIME, PREV_FIRE_TIME, TRIGGER_STATE, TRIGGER_TYPE, START_TIME, END_TIME, CALENDAR_NAME, MISFIRE_INSTR, JOB_DATA, PRIORITY)  VALUES('Thresh_Cloud_Scheduler', ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)|INSERT INTO QRTZ_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, JOB_NAME, JOB_GROUP, DESCRIPTION, NEXT_FIRE_TIME, PREV_FIRE_TIME, TRIGGER_STATE, TRIGGER_TYPE, START_TIME, END_TIME, CALENDAR_NAME, MISFIRE_INSTR, JOB_DATA, PRIORITY)  VALUES('Thresh_Cloud_Scheduler', 'TASK_2', 'DEFAULT', 'TASK_2', 'DEFAULT', NULL, 1643009800000, -1, 'WAITING', 'CRON', 1643009797000, 0, NULL, 2, '', 5)
1643009797559|3|statement|connection 6|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|INSERT INTO QRTZ_CRON_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, CRON_EXPRESSION, TIME_ZONE_ID)  VALUES('Thresh_Cloud_Scheduler', ?, ?, ?, ?)|INSERT INTO QRTZ_CRON_TRIGGERS (SCHED_NAME, TRIGGER_NAME, TRIGGER_GROUP, CRON_EXPRESSION, TIME_ZONE_ID)  VALUES('Thresh_Cloud_Scheduler', 'TASK_2', 'DEFAULT', '0/10 * * * * ?', 'Asia/Shanghai')
1643009797561|1|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_LOCKS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND LOCK_NAME = ? FOR UPDATE|SELECT * FROM QRTZ_LOCKS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND LOCK_NAME = 'TRIGGER_ACCESS' FOR UPDATE
1643009797562|0|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT TRIGGER_NAME, TRIGGER_GROUP FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND JOB_NAME = ? AND JOB_GROUP = ?|SELECT TRIGGER_NAME, TRIGGER_GROUP FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND JOB_NAME = 'TASK_2' AND JOB_GROUP = 'DEFAULT'
1643009797563|0|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = 'TASK_2' AND TRIGGER_GROUP = 'DEFAULT'
1643009797564|0|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_CRON_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = 'TASK_2' AND TRIGGER_GROUP = 'DEFAULT'
1643009797565|0|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT TRIGGER_STATE FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT TRIGGER_STATE FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = 'TASK_2' AND TRIGGER_GROUP = 'DEFAULT'
1643009797567|2|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|UPDATE QRTZ_TRIGGERS SET TRIGGER_STATE = ? WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|UPDATE QRTZ_TRIGGERS SET TRIGGER_STATE = 'PAUSED' WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = 'TASK_2' AND TRIGGER_GROUP = 'DEFAULT'
1643009797568|0|statement|connection 8|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = ? AND TRIGGER_GROUP = ?|SELECT * FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND TRIGGER_NAME = 'TASK_3' AND TRIGGER_GROUP = 'DEFAULT'
1643009797570|0|statement|connection 9|url jdbc:mysql://127.0.0.1:3306/thresh_cloud_job?useUnicode=true&characterEncoding=UTF-8&useJDBCCompliantTimezoneShift=true&useLegacyDatetimeCode=false&serverTimezone=GMT%2b8|SELECT * FROM QRTZ_LOCKS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND LOCK_NAME = ? FOR UPDATE|SELECT * FROM QRTZ_LOCKS WHERE SCHED_NAME = 'Thresh_Cloud_Scheduler' AND LOCK_NAME = 'TRIGGER_ACCESS' FOR UPDATE
